 Test-Suite Report
12/11/2019 , 3:26 PM

Test System Information

Test Suite Parameters: 
Test Folder Path:,C:\sync\penguin\2020\rtconn_test\trunk\tests_auto\performance\throughput
Installed Distributions:,
NI LabVIEW Run-Time Engine 2011 SP1 - Version: 11.1.0.0
Path: \\in-ban-argo.natinst.com\NISoftwareReleased\Windows\Distributions\LabVIEW Add-ons\Run-Time Engine\2011\11.1.0\32-bit\standard\

NI LabVIEW Run-Time Engine 2013 - Version: 13.0.0.0
Path: \\in-ban-argo.natinst.com\NISoftwareReleased\Windows\Distributions\LabVIEW Add-ons\Run-Time Engine\2013\13.0.0\32-bit\standard\

NI LabVIEW Run-Time Engine 8.5 - Version: 8.5.0.0
Path: \\nibataserver\LV RT Utilities\RTE\8.5\

NI LabVIEW 8.2.1 Runtime Engine - Version: 8.2.1.0
Path: \\in-ban-argo.natinst.com\NISoftwareReleased\Windows\Distributions\LabVIEW Add-ons\Run-Time Engine\8.2\8.2.1\English\Daily\20070327_1819\

NI LabVIEW Run-Time Engine 2009 - Version: 9.0.0.0
Path: \\nibataserver\LV RT Utilities\RTE\9.0\



Settings for Target (Alias):,Default
Target IP:,169.254.158.83
Target Host Name:,RT-PXIe-8108
Target Model:,PXIe-8108
Target Code:,7321
Target Serial Number:,2F126EC1
Target MAC:,30303A38303A32663A31323A36653A6331

Settings for Target (Alias):,localhost
Host Host Name:,rtatsperf.apac.corp.natinst.com
Host IP:,169.254.104.17
Host LV Version:,20.0b25
Host OS:,Windows NT
Host OS Version:,6.1
LV EXE Date:,2019-12-08 07:20:28
Host MAC:,68	05	CA	26	C5	60

Test Name: ,NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi
Reported by: ,Default Performance Report Generator.vi

Iteration ,RunTime (ms),Buffer Size,Num Elements,Throughput (MB/s),Target Memory (bytes),Datatype,RunTime (ms),Buffer Size,Num Elements,Throughput (MB/s),Target Memory (bytes),Datatype,RunTime (ms),Buffer Size,Num Elements,Throughput (MB/s),Target Memory (bytes),Datatype,RunTime (ms),Buffer Size,Num Elements,Throughput (MB/s),Target Memory (bytes),Datatype,RunTime (ms),Buffer Size,Num Elements,Throughput (MB/s),Target Memory (bytes),Datatype,RunTime (ms),Buffer Size,Num Elements,Throughput (MB/s),Target Memory (bytes),Datatype
0,5000,10,1,0.1512,1026908160,0,5000,100,10,1.229,1026908160,0,5000,1000,100,22.56,1026908160,0,5000,10000,1000,112.1,1026908160,0,5000,100000,10000,112.6,1026908160,0,5000,500000,50000,112.4,1026908160,0,
Test Configuration:,Local_Remote
Test Result:,Passed
Reported by: ,Default Performance Report Generator.vi

Iteration ,RunTime (ms),Buffer Size,Num Elements,Throughput (MB/s),Target Memory (bytes),Datatype,RunTime (ms),Buffer Size,Num Elements,Throughput (MB/s),Target Memory (bytes),Datatype,RunTime (ms),Buffer Size,Num Elements,Throughput (MB/s),Target Memory (bytes),Datatype,RunTime (ms),Buffer Size,Num Elements,Throughput (MB/s),Target Memory (bytes),Datatype,RunTime (ms),Buffer Size,Num Elements,Throughput (MB/s),Target Memory (bytes),Datatype,RunTime (ms),Buffer Size,Num Elements,Throughput (MB/s),Target Memory (bytes),Datatype
0,5000,10,1,0.006321,1026908160,0,5000,100,10,0.06624,1026908160,0,5000,1000,100,22.17,1026908160,0,5000,10000,1000,111.4,1026908160,0,5000,100000,10000,111.6,1026908160,0,5000,500000,50000,109.1,1026908160,0,
Test Configuration:,Remote_Local
Test Result:,Passed
<results>Passed,1
Failed,0
Error,0
Avoided,0
Disabled,0
</results>
